race_date,race_date_citation,track_name,track_name_citation,race_number,race_number_citation,chart_url,chart_url_citation,winning_horse,winning_horse_citation,payouts,fractional_times
01/03/2026,https://www.equibase.com/static/chart/summary/HOU010326USA8-EQB.html,SAM HOUSTON,https://www.equibase.com/static/chart/summary/HOU010326USA8-EQB.html,8,https://www.equibase.com/static/chart/summary/HOU010326USA8-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=HOU&raceDate=01/03/2026&cy=USA&rn=8,https://www.equibase.com/static/chart/summary/HOU010326USA8-EQB.html,Harvey's Finnish,https://www.equibase.com/static/chart/summary/HOU010326USA8-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/HOU010326USA9-EQB.html,SAM HOUSTON,https://www.equibase.com/static/chart/summary/HOU010326USA9-EQB.html,9,https://www.equibase.com/static/chart/summary/HOU010326USA9-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=HOU&raceDate=01/03/2026&cy=USA&rn=9,https://www.equibase.com/static/chart/summary/HOU010326USA9-EQB.html,Cruel,https://www.equibase.com/static/chart/summary/HOU010326USA9-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA1-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA1-EQB.html,1,https://www.equibase.com/static/chart/summary/CT010326USA1-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=1,https://www.equibase.com/static/chart/summary/CT010326USA1-EQB.html,No Direction,https://www.equibase.com/static/chart/summary/CT010326USA1-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA2-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA2-EQB.html,2,https://www.equibase.com/static/chart/summary/CT010326USA2-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=2,https://www.equibase.com/static/chart/summary/CT010326USA2-EQB.html,Collegeville Queen,https://www.equibase.com/static/chart/summary/CT010326USA2-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA3-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA3-EQB.html,3,https://www.equibase.com/static/chart/summary/CT010326USA3-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=3,https://www.equibase.com/static/chart/summary/CT010326USA3-EQB.html,Rocket Appeal,https://www.equibase.com/static/chart/summary/CT010326USA3-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA4-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA4-EQB.html,4,https://www.equibase.com/static/chart/summary/CT010326USA4-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=4,https://www.equibase.com/static/chart/summary/CT010326USA4-EQB.html,Mr On High,https://www.equibase.com/static/chart/summary/CT010326USA4-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA5-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA5-EQB.html,5,https://www.equibase.com/static/chart/summary/CT010326USA5-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=5,https://www.equibase.com/static/chart/summary/CT010326USA5-EQB.html,Head Lad,https://www.equibase.com/static/chart/summary/CT010326USA5-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA6-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA6-EQB.html,6,https://www.equibase.com/static/chart/summary/CT010326USA6-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=6,https://www.equibase.com/static/chart/summary/CT010326USA6-EQB.html,Go Go Prancer,https://www.equibase.com/static/chart/summary/CT010326USA6-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA7-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA7-EQB.html,7,https://www.equibase.com/static/chart/summary/CT010326USA7-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=7,https://www.equibase.com/static/chart/summary/CT010326USA7-EQB.html,Maddie Ten,https://www.equibase.com/static/chart/summary/CT010326USA7-EQB.html,,
01/03/2026,https://www.equibase.com/static/chart/summary/CT010326USA8-EQB.html,CT,https://www.equibase.com/static/chart/summary/CT010326USA8-EQB.html,8,https://www.equibase.com/static/chart/summary/CT010326USA8-EQB.html,https://www.equibase.com/premium/chartEmb.cfm?track=CT&raceDate=01/03/2026&cy=USA&rn=8,https://www.equibase.com/static/chart/summary/CT010326USA8-EQB.html,Kaladin,https://www.equibase.com/static/chart/summary/CT010326USA8-EQB.html,,
